name,runtime(s),tokens/second
warmup,3.971873,12.588519
1b_50g_short,3.814689,13.107230
1b_50g_medium,9.954587,5.022810
1b_50g_long,16.301485,3.067205
1b_100g_short,12.938586,7.728820
1b_100g_medium,25.266925,3.957743
1b_100g_long,37.968496,2.633762
1b_200g_long,97.276797,2.055989
1b_500g_long,402.153653,1.243306
4b_50g_short,13.977819,14.308384
4b_50g_medium,38.217286,5.233234
4b_50g_long,62.451927,3.202463
4b_200g_long,373.499989,2.141901
8b_200g_long,739.980073,2.162220
